pango,root,total_samples,max_descendants,min_descendants,parent_max_descendants,parent_min_descendants,diff,diff_parent,relative_diff,relative_diff_parent
BA.2.5,887654,10860,10860,10860,10860,10860,0,0,0.0,0.0
BA.2.50,1097462,360,360,360,360,360,0,0,0.0,0.0
BA.2.51,1113714,37,24,24,31,31,13,6,0.35135135135135137,0.16216216216216217
BA.2.52,2699465,123,123,123,123,123,0,0,0.0,0.0
BA.2.53,1180174,27,27,27,27,27,0,0,0.0,0.0
BA.2.54,1235377,25,25,25,25,25,0,0,0.0,0.0
BA.2.55,1061758,81,81,81,81,81,0,0,0.0,0.0
BA.2.56,1139696,266,67,67,263,263,199,3,0.7481203007518797,0.011278195488721804
BA.2.57,1266316,5,3,3,3,3,2,2,0.4,0.4
BA.2.58,1129740,4,1,1,3,3,3,1,0.75,0.25
BA.2.59,1122698,34,34,34,34,34,0,0,0.0,0.0
BA.2.6,1175045,186,56,56,59,59,130,127,0.6989247311827957,0.6827956989247311
BA.2.60,2744251,10,10,10,10,10,0,0,0.0,0.0
BA.2.61,1258266,7,6,6,6,6,1,1,0.14285714285714285,0.14285714285714285
BA.2.62,1160769,6,2,2,6,6,4,0,0.6666666666666666,0.0
BA.2.63,1101848,19,9,9,9,9,10,10,0.5263157894736842,0.5263157894736842
BA.2.64,1195865,52,51,50,51,50,1,1,0.019230769230769232,0.019230769230769232
BA.2.65,2693869,383,244,244,244,244,139,139,0.3629242819843342,0.3629242819843342
BA.2.66,1203808,10,10,10,10,10,0,0,0.0,0.0
BA.2.67,994440,106,106,106,106,106,0,0,0.0,0.0
BA.2.68,1222407,25,20,20,20,20,5,5,0.2,0.2
BA.2.69,1236042,1,1,1,1,1,0,0,0.0,0.0
BA.2.7,2742717,1071,892,892,892,892,179,179,0.16713352007469653,0.16713352007469653
BA.2.70,2744282,8,8,8,8,8,0,0,0.0,0.0
BA.2.71,1236460,28,7,7,7,7,21,21,0.75,0.75
BA.2.72,1188279,126,115,115,116,116,11,10,0.0873015873015873,0.07936507936507936
BA.2.73,1123125,119,117,117,118,118,2,1,0.01680672268907563,0.008403361344537815
BA.2.74,1259002,60,60,60,60,60,0,0,0.0,0.0
BA.2.75,1291791,68,68,63,68,63,0,0,0.0,0.0
BA.2.75.1,1311217,147,147,147,147,147,0,0,0.0,0.0
BA.2.75.10,1291783,6,6,6,6,6,0,0,0.0,0.0
BA.2.75.2,1339793,294,294,293,294,293,0,0,0.0,0.0
