pango,root,total_samples,max_descendants,min_descendants,parent_max_descendants,parent_min_descendants,diff,diff_parent,relative_diff,relative_diff_parent
BF.7.9,1340997,2,1,1,1,1,1,1,0.5,0.5
BF.8,2705136,961,765,765,960,960,196,1,0.20395421436004163,0.001040582726326743
BF.9,2744778,58,58,58,58,58,0,0,0.0,0.0
BG.1,1206170,15,15,15,15,15,0,0,0.0,0.0
BG.2,1225179,162,162,162,162,162,0,0,0.0,0.0
BG.3,1275338,2,2,2,2,2,0,0,0.0,0.0
BG.4,1242704,6,6,6,6,6,0,0,0.0,0.0
BG.5,1197624,225,224,224,225,225,1,0,0.0044444444444444444,0.0
BG.6,1255502,1,1,1,1,1,0,0,0.0,0.0
BH.1,1276879,19,19,19,19,19,0,0,0.0,0.0
BK.1,2707032,356,354,354,356,356,2,0,0.0056179775280898875,0.0
BL.1,2711955,81,78,78,81,81,3,0,0.037037037037037035,0.0
BL.1.1,1358523,1,1,1,1,1,0,0,0.0,0.0
BL.1.3,1385000,2,2,2,2,2,0,0,0.0,0.0
BL.1.4,1390774,6,6,6,6,6,0,0,0.0,0.0
BL.2,2712606,31,30,30,31,31,1,0,0.03225806451612903,0.0
BL.3,1344395,4,4,4,4,4,0,0,0.0,0.0
BL.4,1365888,4,4,4,4,4,0,0,0.0,0.0
BL.6,1385279,5,5,5,5,5,0,0,0.0,0.0
BM.1,2711136,13,7,7,13,13,6,0,0.46153846153846156,0.0
BM.1.1,1342796,42,42,42,42,42,0,0,0.0,0.0
BM.1.1.1,1417893,8,8,8,8,8,0,0,0.0,0.0
BM.1.1.2,1382539,1,1,1,1,1,0,0,0.0,0.0
BM.1.1.3,1396142,130,130,130,130,130,0,0,0.0,0.0
BM.1.1.5,1413652,10,10,10,10,10,0,0,0.0,0.0
BM.2,2710922,4,3,3,4,4,1,0,0.25,0.0
BM.2.1,1363180,1,1,1,1,1,0,0,0.0,0.0
BM.4,1291784,1,1,1,1,1,0,0,0.0,0.0
BM.4.1,1382464,1,1,1,1,1,0,0,0.0,0.0
BM.4.1.1,1350206,75,75,75,75,75,0,0,0.0,0.0
BM.5,1390807,3,3,3,3,3,0,0,0.0,0.0
BN.1,1345483,235,235,235,235,235,0,0,0.0,0.0
BN.1.1,1335780,16,16,16,16,16,0,0,0.0,0.0
BN.1.1.1,1395974,5,5,5,5,5,0,0,0.0,0.0
BN.1.10,1404013,10,10,10,10,10,0,0,0.0,0.0
BN.1.2,1394530,97,97,97,97,97,0,0,0.0,0.0
BN.1.2.1,1387501,103,103,103,103,103,0,0,0.0,0.0
BN.1.2.2,1413866,7,7,7,7,7,0,0,0.0,0.0
BN.1.2.3,1410291,9,9,9,9,9,0,0,0.0,0.0
BN.1.2.4,1419822,4,4,4,4,4,0,0,0.0,0.0
BN.1.2.5,1428361,1,1,1,1,1,0,0,0.0,0.0
BN.1.3,1349659,248,248,248,248,248,0,0,0.0,0.0
BN.1.3.1,1382982,267,267,267,267,267,0,0,0.0,0.0
BN.1.3.12,1390986,8,8,8,8,8,0,0,0.0,0.0
BN.1.3.4,1412619,2,2,2,2,2,0,0,0.0,0.0
BN.1.3.5,1411151,9,9,9,9,9,0,0,0.0,0.0
BN.1.3.6,1393077,36,36,36,36,36,0,0,0.0,0.0
BN.1.3.7,1413864,3,2,2,3,2,1,0,0.3333333333333333,0.0
BN.1.3.8,1408659,1,1,1,1,1,0,0,0.0,0.0
BN.1.4,1361545,87,87,87,87,87,0,0,0.0,0.0
BN.1.4.1,1415888,18,18,18,18,18,0,0,0.0,0.0
BN.1.4.2,1429357,1,1,1,1,1,0,0,0.0,0.0
BN.1.4.3,1395471,10,10,10,10,10,0,0,0.0,0.0
BN.1.4.5,1402187,10,10,10,10,10,0,0,0.0,0.0
BN.1.5,1368795,296,296,296,296,296,0,0,0.0,0.0
BN.1.5.2,2745730,6,6,6,6,6,0,0,0.0,0.0
BN.1.7,1394494,94,94,94,94,94,0,0,0.0,0.0
BN.1.9,1391586,11,11,11,11,11,0,0,0.0,0.0
BN.2,1352538,3,3,3,3,3,0,0,0.0,0.0
BN.2.1,1361595,7,7,7,7,7,0,0,0.0,0.0
BN.3,1386160,3,3,3,3,3,0,0,0.0,0.0
BN.3.1,1389343,21,21,21,21,21,0,0,0.0,0.0
BN.4,1381518,2,2,2,2,2,0,0,0.0,0.0
BN.5,1354778,20,20,20,20,20,0,0,0.0,0.0
BN.6,1354845,35,35,35,35,35,0,0,0.0,0.0
BQ.1,1335901,2567,2567,2565,2567,2565,0,0,0.0,0.0
BQ.1.1,1340763,6752,6728,6722,6729,6723,24,23,0.0035545023696682463,0.003406398104265403
BQ.1.1.1,1361729,350,331,331,350,350,19,0,0.054285714285714284,0.0
BQ.1.1.10,1399990,98,83,83,87,87,15,11,0.15306122448979592,0.11224489795918367
BQ.1.1.11,1390815,25,15,15,16,16,10,9,0.4,0.36
BQ.1.1.12,1415520,1,1,1,1,1,0,0,0.0,0.0
BQ.1.1.13,1402751,58,51,51,51,51,7,7,0.1206896551724138,0.1206896551724138
BQ.1.1.14,1396156,8,5,5,8,8,3,0,0.375,0.0
BQ.1.1.15,1385501,146,133,133,146,146,13,0,0.08904109589041095,0.0
BQ.1.1.16,1413858,14,13,13,14,14,1,0,0.07142857142857142,0.0
BQ.1.1.17,1405033,9,5,5,5,5,4,4,0.4444444444444444,0.4444444444444444
BQ.1.1.18,1374749,302,298,298,298,298,4,4,0.013245033112582781,0.013245033112582781
BQ.1.1.19,1386192,110,101,101,110,110,9,0,0.08181818181818182,0.0
BQ.1.1.2,1338645,390,390,390,390,390,0,0,0.0,0.0
BQ.1.1.20,1415734,5,3,3,3,3,2,2,0.4,0.4
BQ.1.1.21,1417738,2,1,1,1,1,1,1,0.5,0.5
BQ.1.1.22,1396880,187,186,186,186,186,1,1,0.0053475935828877,0.0053475935828877
BQ.1.1.23,1390057,117,117,117,117,117,0,0,0.0,0.0
BQ.1.1.24,1381637,188,120,120,120,120,68,68,0.3617021276595745,0.3617021276595745
BQ.1.1.25,1402312,3,3,3,3,3,0,0,0.0,0.0
BQ.1.1.26,1416447,5,5,5,5,5,0,0,0.0,0.0
BQ.1.1.27,1404591,56,56,56,56,56,0,0,0.0,0.0
BQ.1.1.28,1396151,136,136,136,136,136,0,0,0.0,0.0
BQ.1.1.29,1404630,67,67,67,67,67,0,0,0.0,0.0
BQ.1.1.3,1379272,373,354,354,373,373,19,0,0.05093833780160858,0.0
BQ.1.1.30,2740866,4,4,4,4,4,0,0,0.0,0.0
BQ.1.1.31,1405387,77,75,75,77,77,2,0,0.025974025974025976,0.0
BQ.1.1.32,1403978,121,68,68,68,68,53,53,0.4380165289256198,0.4380165289256198
BQ.1.1.34,2716080,19,19,19,19,19,0,0,0.0,0.0
BQ.1.1.35,1411803,32,32,32,32,32,0,0,0.0,0.0
BQ.1.1.36,1410568,35,30,30,35,35,5,0,0.14285714285714285,0.0
BQ.1.1.37,1427814,6,5,5,6,6,1,0,0.16666666666666666,0.0
BQ.1.1.38,1426230,14,13,13,13,13,1,1,0.07142857142857142,0.07142857142857142
BQ.1.1.39,1425792,7,7,7,7,7,0,0,0.0,0.0
BQ.1.1.4,1371853,365,314,314,365,365,51,0,0.13972602739726028,0.0
BQ.1.1.40,1398723,19,17,17,19,19,2,0,0.10526315789473684,0.0
BQ.1.1.41,1391550,64,64,64,64,64,0,0,0.0,0.0
BQ.1.1.42,1415851,22,22,22,22,22,0,0,0.0,0.0
BQ.1.1.43,1410071,45,45,45,45,45,0,0,0.0,0.0
BQ.1.1.44,1415083,1,1,1,1,1,0,0,0.0,0.0
BQ.1.1.45,1423294,27,25,25,25,25,2,2,0.07407407407407407,0.07407407407407407
BQ.1.1.46,1422041,3,1,1,1,1,2,2,0.6666666666666666,0.6666666666666666
BQ.1.1.47,1413033,37,24,24,24,24,13,13,0.35135135135135137,0.35135135135135137
BQ.1.1.48,1434174,3,3,3,3,3,0,0,0.0,0.0
BQ.1.1.49,1426526,3,3,3,3,3,0,0,0.0,0.0
BQ.1.1.5,1398180,283,282,282,282,282,1,1,0.0035335689045936395,0.0035335689045936395
BQ.1.1.51,1376136,60,56,56,60,60,4,0,0.06666666666666667,0.0
BQ.1.1.52,1387414,54,53,53,54,54,1,0,0.018518518518518517,0.0
BQ.1.1.53,1431498,4,2,2,2,2,2,2,0.5,0.5
BQ.1.1.54,1405047,8,8,8,8,8,0,0,0.0,0.0
BQ.1.1.55,1420258,1,1,1,1,1,0,0,0.0,0.0
BQ.1.1.56,1409029,42,39,39,42,42,3,0,0.07142857142857142,0.0
BQ.1.1.57,1405863,55,54,54,55,55,1,0,0.01818181818181818,0.0
BQ.1.1.58,1411144,32,31,31,31,31,1,1,0.03125,0.03125
BQ.1.1.6,1388018,255,226,226,255,255,29,0,0.11372549019607843,0.0
BQ.1.1.60,1420322,12,12,12,12,12,0,0,0.0,0.0
BQ.1.1.61,1415869,9,9,9,9,9,0,0,0.0,0.0
BQ.1.1.62,1412217,13,13,13,13,13,0,0,0.0,0.0
BQ.1.1.63,1424391,24,24,24,24,24,0,0,0.0,0.0
BQ.1.1.64,1432536,2,2,2,2,2,0,0,0.0,0.0
BQ.1.1.65,1417138,17,17,17,17,17,0,0,0.0,0.0
BQ.1.1.66,1414575,24,12,12,12,12,12,12,0.5,0.5
BQ.1.1.67,1419635,45,37,37,45,45,8,0,0.17777777777777778,0.0
BQ.1.1.68,1385164,88,88,88,88,88,0,0,0.0,0.0
BQ.1.1.69,1394521,207,206,206,207,207,1,0,0.004830917874396135,0.0
BQ.1.1.7,1383118,137,136,136,137,137,1,0,0.0072992700729927005,0.0
BQ.1.1.71,1423770,14,14,14,14,14,0,0,0.0,0.0
BQ.1.1.72,1398647,27,27,27,27,27,0,0,0.0,0.0
BQ.1.1.74,1430616,4,1,1,1,1,3,3,0.75,0.75
BQ.1.1.76,1432537,3,2,2,3,3,1,0,0.3333333333333333,0.0
BQ.1.1.77,1413543,1,1,1,1,1,0,0,0.0,0.0
BQ.1.1.8,1360075,506,506,506,506,506,0,0,0.0,0.0
BQ.1.1.9,1413927,1,1,1,1,1,0,0,0.0,0.0
BQ.1.10,1359435,447,447,447,447,447,0,0,0.0,0.0
BQ.1.10.1,1384419,61,61,61,61,61,0,0,0.0,0.0
BQ.1.10.2,1407477,12,12,12,12,12,0,0,0.0,0.0
BQ.1.10.3,1415868,4,4,4,4,4,0,0,0.0,0.0
BQ.1.11,2712916,298,280,280,295,295,18,3,0.06040268456375839,0.010067114093959731
BQ.1.11.1,1416314,2,1,1,2,2,1,0,0.5,0.0
BQ.1.12,1364953,476,475,475,476,476,1,0,0.0021008403361344537,0.0
BQ.1.13,1380391,171,171,171,171,171,0,0,0.0,0.0
BQ.1.13.1,1390427,118,118,118,118,118,0,0,0.0,0.0
BQ.1.14,1374599,310,309,309,310,310,1,0,0.0032258064516129032,0.0
BQ.1.15,1381520,183,183,183,183,183,0,0,0.0,0.0
BQ.1.16,2740864,32,32,32,32,32,0,0,0.0,0.0
BQ.1.17,1417003,4,4,4,4,4,0,0,0.0,0.0
BQ.1.18,2733554,115,103,103,103,103,12,12,0.10434782608695652,0.10434782608695652
BQ.1.19,1395654,4,2,2,4,4,2,0,0.5,0.0
BQ.1.2,1355276,604,603,603,604,604,1,0,0.0016556291390728477,0.0
BQ.1.2.1,1404590,10,10,10,10,10,0,0,0.0,0.0
BQ.1.2.3,1386110,58,54,54,58,58,4,0,0.06896551724137931,0.0
BQ.1.20,1403206,9,9,9,9,9,0,0,0.0,0.0
BQ.1.21,1418709,37,37,37,37,37,0,0,0.0,0.0
BQ.1.22,2714627,50,21,21,50,50,29,0,0.58,0.0
BQ.1.23,1391562,220,217,217,217,217,3,3,0.013636363636363636,0.013636363636363636
BQ.1.24,1425845,11,8,8,8,8,3,3,0.2727272727272727,0.2727272727272727
BQ.1.25,1405045,46,46,46,46,46,0,0,0.0,0.0
BQ.1.25.1,1406343,15,15,15,15,15,0,0,0.0,0.0
BQ.1.26,1368770,8,8,8,8,8,0,0,0.0,0.0
BQ.1.26.1,1399970,4,4,4,4,4,0,0,0.0,0.0
BQ.1.27,1410954,8,8,8,8,8,0,0,0.0,0.0
BQ.1.28,1410288,22,22,22,22,22,0,0,0.0,0.0
BQ.1.29,1415107,10,10,10,10,10,0,0,0.0,0.0
BQ.1.3,1370167,49,49,49,49,49,0,0,0.0,0.0
BQ.1.3.1,1391310,52,52,52,52,52,0,0,0.0,0.0
BQ.1.3.2,1382383,238,238,238,238,238,0,0,0.0,0.0
BQ.1.31,1412549,32,24,24,24,24,8,8,0.25,0.25
BQ.1.32,1429901,2,2,2,2,2,0,0,0.0,0.0
BQ.1.33,1426615,1,1,1,1,1,0,0,0.0,0.0
BQ.1.4,1368771,26,26,26,26,26,0,0,0.0,0.0
BQ.1.5,1371852,289,289,289,289,289,0,0,0.0,0.0
BQ.1.6,1344764,149,149,149,149,149,0,0,0.0,0.0
BQ.1.7,1373002,21,21,21,21,21,0,0,0.0,0.0
BQ.1.8,1371013,690,690,689,690,689,0,0,0.0,0.0
BQ.1.8.1,1407705,4,4,4,4,4,0,0,0.0,0.0
BQ.1.8.2,1370432,158,158,158,158,158,0,0,0.0,0.0
BQ.1.9,1368772,12,12,12,12,12,0,0,0.0,0.0
BQ.2,1363938,20,20,20,20,20,0,0,0.0,0.0
BR.1,1357436,45,45,45,45,45,0,0,0.0,0.0
BR.1.2,1376320,30,30,30,30,30,0,0,0.0,0.0
BR.2.1,1403615,79,79,79,79,79,0,0,0.0,0.0
BR.4,1404954,1,1,1,1,1,0,0,0.0,0.0
BR.5,1405391,4,4,4,4,4,0,0,0.0,0.0
BT.1,1265859,25,25,25,25,25,0,0,0.0,0.0
BT.2,1295004,35,35,35,35,35,0,0,0.0,0.0
BU.1,2747983,93,93,93,93,93,0,0,0.0,0.0
BU.2,1345461,21,21,21,21,21,0,0,0.0,0.0
BU.3,1400305,10,10,10,10,10,0,0,0.0,0.0
BV.1,1339707,14,14,14,14,14,0,0,0.0,0.0
BV.2,2740671,10,6,6,6,6,4,4,0.4,0.4
BW.1,1388825,13,13,13,13,13,0,0,0.0,0.0
BW.1.1,1393948,29,29,29,29,29,0,0,0.0,0.0
BW.1.1.1,1408039,11,11,11,11,11,0,0,0.0,0.0
BW.1.1.2,1421996,3,3,3,3,3,0,0,0.0,0.0
BY.1,1350196,71,67,67,67,67,4,4,0.056338028169014086,0.056338028169014086
BY.1.2,1385001,14,14,14,14,14,0,0,0.0,0.0
BY.1.2.1,1385777,1,1,1,1,1,0,0,0.0,0.0
BZ.2,1339421,21,21,21,21,21,0,0,0.0,0.0
C.1,19928,5,4,4,5,5,1,0,0.2,0.0
C.16,136550,12,12,12,12,12,0,0,0.0,0.0
C.17,36204,68,68,68,68,68,0,0,0.0,0.0
C.18,49224,3,3,3,3,3,0,0,0.0,0.0
C.2,23838,1,1,1,1,1,0,0,0.0,0.0
C.23,116349,18,18,18,18,18,0,0,0.0,0.0
C.26,16347,1,1,1,1,1,0,0,0.0,0.0
C.27,11297,37,37,37,37,37,0,0,0.0,0.0
C.28,15125,6,6,6,6,6,0,0,0.0,0.0
C.3,14874,101,101,101,101,101,0,0,0.0,0.0
C.30,24720,380,380,380,380,380,0,0,0.0,0.0
C.35,23142,148,148,148,148,148,0,0,0.0,0.0
C.36,4565,9,9,9,9,9,0,0,0.0,0.0
C.36.1,2735944,11,11,11,11,11,0,0,0.0,0.0
C.36.3,182471,151,151,151,151,151,0,0,0.0,0.0
C.36.3.1,254510,5,5,5,5,5,0,0,0.0,0.0
C.37,2736328,190,190,190,190,190,0,0,0.0,0.0
C.37.1,246644,6,5,5,5,5,1,1,0.16666666666666666,0.16666666666666666
CA.1,1370153,47,47,47,47,47,0,0,0.0,0.0
CA.2,1360914,3,1,1,1,1,2,2,0.6666666666666666,0.6666666666666666
CA.3,1357724,18,18,18,18,18,0,0,0.0,0.0
CA.3.1,1402185,12,12,12,12,12,0,0,0.0,0.0
CA.5,1386621,21,21,21,21,21,0,0,0.0,0.0
CA.7,1386804,69,69,69,69,69,0,0,0.0,0.0
CB.1,1356256,24,24,24,24,24,0,0,0.0,0.0
CC.1,1364062,1,1,1,1,1,0,0,0.0,0.0
CD.1,1338470,14,14,14,14,14,0,0,0.0,0.0
CD.2,1338959,29,29,29,29,29,0,0,0.0,0.0
CE.1,2711718,48,44,44,44,44,4,4,0.08333333333333333,0.08333333333333333
CF.1,1383723,7,3,3,3,3,4,4,0.5714285714285714,0.5714285714285714
CG.1,1335247,18,18,18,18,18,0,0,0.0,0.0
CH.1,1381528,3,3,3,3,3,0,0,0.0,0.0
CH.1.1,1393081,1484,1484,1484,1484,1484,0,0,0.0,0.0
CH.1.1.1,2745807,462,462,462,462,462,0,0,0.0,0.0
CH.1.1.10,1410579,54,52,52,52,52,2,2,0.037037037037037035,0.037037037037037035
CH.1.1.11,1400761,61,61,61,61,61,0,0,0.0,0.0
CH.1.1.13,1412896,106,106,106,106,106,0,0,0.0,0.0
CH.1.1.14,1408408,28,28,27,28,27,0,0,0.0,0.0
CH.1.1.15,2740865,4,4,4,4,4,0,0,0.0,0.0
CH.1.1.17,1432294,9,9,9,9,9,0,0,0.0,0.0
CH.1.1.19,1408984,161,160,160,161,161,1,0,0.006211180124223602,0.0
CH.1.1.2,1409613,247,247,247,247,247,0,0,0.0,0.0
CH.1.1.20,1432691,2,2,2,2,2,0,0,0.0,0.0
CH.1.1.23,1434677,4,4,4,4,4,0,0,0.0,0.0
CH.1.1.24,1406787,19,19,18,19,18,0,0,0.0,0.0
CH.1.1.25,1410722,21,21,21,21,21,0,0,0.0,0.0
CH.1.1.26,1422851,1,1,1,1,1,0,0,0.0,0.0
CH.1.1.27,1431489,5,5,5,5,5,0,0,0.0,0.0
CH.1.1.28,1409966,58,58,58,58,58,0,0,0.0,0.0
CH.1.1.3,1428883,15,15,15,15,15,0,0,0.0,0.0
CH.1.1.30,1432868,1,1,1,1,1,0,0,0.0,0.0
CH.1.1.5,1408641,30,30,30,30,30,0,0,0.0,0.0
CH.1.1.6,1413579,76,76,76,76,76,0,0,0.0,0.0
CH.1.1.7,1427813,3,3,3,3,3,0,0,0.0,0.0
CH.1.1.8,1419611,40,40,40,40,40,0,0,0.0,0.0
CH.1.1.9,1410400,62,62,62,62,62,0,0,0.0,0.0
CH.2,1369725,1,1,1,1,1,0,0,0.0,0.0
CH.3.1,1419375,1,1,1,1,1,0,0,0.0,0.0
CJ.1,1389778,1,1,1,1,1,0,0,0.0,0.0
CJ.1.1,1426796,6,6,6,6,6,0,0,0.0,0.0
CJ.1.2,1398680,26,26,26,26,26,0,0,0.0,0.0
CJ.1.3,1425986,6,6,6,6,6,0,0,0.0,0.0
CK.1,1359539,96,95,95,95,95,1,1,0.010416666666666666,0.010416666666666666
CK.1.2,1384344,4,4,4,4,4,0,0,0.0,0.0
CK.1.3,1390723,7,7,7,7,7,0,0,0.0,0.0
CK.1.4,1403177,20,20,20,20,20,0,0,0.0,0.0
CK.1.5,1386394,22,22,22,22,22,0,0,0.0,0.0
CK.2,1361515,39,25,25,25,25,14,14,0.358974358974359,0.358974358974359
CK.2.1,1366806,57,57,57,57,57,0,0,0.0,0.0
CK.2.1.1,1387990,56,56,56,56,56,0,0,0.0,0.0
CK.3,1400017,32,32,32,32,32,0,0,0.0,0.0
CL.1,1398969,57,57,57,57,57,0,0,0.0,0.0
CL.1.1,1408187,6,6,6,6,6,0,0,0.0,0.0
CL.1.2,1426638,1,1,1,1,1,0,0,0.0,0.0
CL.1.3,1414721,5,5,5,5,5,0,0,0.0,0.0
CM.1,1389392,2,2,2,2,2,0,0,0.0,0.0
CM.10,1429874,1,1,1,1,1,0,0,0.0,0.0
CM.2,1373995,72,72,72,72,72,0,0,0.0,0.0
CM.3,2745685,4,4,4,4,4,0,0,0.0,0.0
CM.4,1373989,18,18,17,18,17,0,0,0.0,0.0
CM.4.1,1402255,4,4,4,4,4,0,0,0.0,0.0
CM.5,2745722,5,5,5,5,5,0,0,0.0,0.0
CM.5.2,1401534,7,7,7,7,7,0,0,0.0,0.0
CM.6,1384109,1,1,1,1,1,0,0,0.0,0.0
CM.7,1398599,1,1,1,1,1,0,0,0.0,0.0
CM.7.1,1427593,2,2,2,2,2,0,0,0.0,0.0
CM.8.1,1415454,19,19,19,19,19,0,0,0.0,0.0
CM.9,1389047,1,1,1,1,1,0,0,0.0,0.0
CN.1,1363343,60,60,60,60,60,0,0,0.0,0.0
CN.2,1369021,81,81,81,81,81,0,0,0.0,0.0
CP.1,1351819,54,51,51,51,51,3,3,0.05555555555555555,0.05555555555555555
CP.1.1,2745627,20,20,20,20,20,0,0,0.0,0.0
CP.1.2,1390740,6,6,6,6,6,0,0,0.0,0.0
CP.1.3,1388909,7,7,7,7,7,0,0,0.0,0.0
CP.2,1402448,4,4,4,4,4,0,0,0.0,0.0
CP.3,1423642,3,2,2,2,2,1,1,0.3333333333333333,0.3333333333333333
CP.5,1403066,11,8,8,8,8,3,3,0.2727272727272727,0.2727272727272727
CP.6,1404382,4,4,4,4,4,0,0,0.0,0.0
CP.8,1395638,9,8,8,8,8,1,1,0.1111111111111111,0.1111111111111111
CQ.1,1377680,28,28,28,28,28,0,0,0.0,0.0
CQ.1.1,1371171,26,26,26,26,26,0,0,0.0,0.0
CQ.2,1402729,39,39,39,39,39,0,0,0.0,0.0
CR.1,1387270,38,25,25,25,25,13,13,0.34210526315789475,0.34210526315789475
CR.1.1,1396487,14,14,14,14,14,0,0,0.0,0.0
CR.2,1361132,10,10,10,10,10,0,0,0.0,0.0
CS.1,1382450,3,3,3,3,3,0,0,0.0,0.0
CT.1,2740723,4,4,4,4,4,0,0,0.0,0.0
CV.1,1392594,35,35,35,35,35,0,0,0.0,0.0
CW.1,1393980,4,4,4,4,4,0,0,0.0,0.0
CY.1,1399220,4,4,4,4,4,0,0,0.0,0.0
CZ.1,1388179,1,1,1,1,1,0,0,0.0,0.0
CZ.2,1402191,8,7,7,8,8,1,0,0.125,0.0
D.2,14219,8336,8336,8336,8336,8336,0,0,0.0,0.0
D.3,17320,133,133,133,133,133,0,0,0.0,0.0
DA.1,1356199,2,2,2,2,2,0,0,0.0,0.0
DB.1,1402730,4,4,4,4,4,0,0,0.0,0.0
DB.2,1398157,3,3,3,3,3,0,0,0.0,0.0
DC.1,1345806,16,15,15,15,15,1,1,0.0625,0.0625
DE.1,1267547,44,44,44,44,44,0,0,0.0,0.0
DE.2,2731900,33,30,30,32,32,3,1,0.09090909090909091,0.030303030303030304
DF.1,1370414,59,59,59,59,59,0,0,0.0,0.0
DF.1.1,1399107,26,26,26,26,26,0,0,0.0,0.0
DG.1,1402748,9,9,9,9,9,0,0,0.0,0.0
DK.1,2745827,33,33,33,33,33,0,0,0.0,0.0
DN.1,1393391,74,74,74,74,74,0,0,0.0,0.0
DN.1.1,1398762,122,122,122,122,122,0,0,0.0,0.0
DN.1.1.1,1429611,5,5,5,5,5,0,0,0.0,0.0
DN.1.1.2,1418539,6,6,6,6,6,0,0,0.0,0.0
DN.1.1.3,1410395,33,33,33,33,33,0,0,0.0,0.0
DN.1.1.4,1425805,9,9,9,9,9,0,0,0.0,0.0
DN.2,1389508,181,181,181,181,181,0,0,0.0,0.0
DN.3,1415612,1,1,1,1,1,0,0,0.0,0.0
DP.1,1418430,10,10,10,10,10,0,0,0.0,0.0
DQ.1,1415073,3,3,3,3,3,0,0,0.0,0.0
DR.1,1398410,8,8,8,8,8,0,0,0.0,0.0
DR.2,1414637,7,7,7,7,7,0,0,0.0,0.0
DS.1,1429932,3,3,3,3,3,0,0,0.0,0.0
DS.2,1427697,1,1,1,1,1,0,0,0.0,0.0
DS.3,1414021,1,1,1,1,1,0,0,0.0,0.0
DT.1,1416166,22,22,22,22,22,0,0,0.0,0.0
DT.2,1427989,14,14,14,14,14,0,0,0.0,0.0
DT.3,1429070,1,1,1,1,1,0,0,0.0,0.0
DU.1,1415082,135,135,135,135,135,0,0,0.0,0.0
DV.1,1419647,11,9,9,11,11,2,0,0.18181818181818182,0.0
DV.1.1,1420892,61,60,60,60,60,1,1,0.01639344262295082,0.01639344262295082
DV.2,1416462,44,44,44,44,44,0,0,0.0,0.0
DV.3,1410318,128,128,128,128,128,0,0,0.0,0.0
DV.3.1,1410813,28,28,28,28,28,0,0,0.0,0.0
DV.4,1433716,2,2,2,2,2,0,0,0.0,0.0
DV.5,1426794,7,7,7,7,7,0,0,0.0,0.0
DV.6,1409809,457,449,449,457,457,8,0,0.0175054704595186,0.0
DV.7,1435750,5,5,5,5,5,0,0,0.0,0.0
DW.1,1422280,1,1,1,1,1,0,0,0.0,0.0
DY.1,1421160,1,1,1,1,1,0,0,0.0,0.0
DY.2,1421846,4,4,4,4,4,0,0,0.0,0.0
DY.4,1423490,1,1,1,1,1,0,0,0.0,0.0
EA.1,1430925,8,8,8,8,8,0,0,0.0,0.0
EB.1,2745628,28,27,27,28,28,1,0,0.03571428571428571,0.0
EC.1,1405919,66,66,66,66,66,0,0,0.0,0.0
EC.1.1,1415977,44,44,44,44,44,0,0,0.0,0.0
ED.2,1385981,54,54,54,54,54,0,0,0.0,0.0
ED.3,1408403,13,13,13,13,13,0,0,0.0,0.0
EE.1,1368538,51,51,51,51,51,0,0,0.0,0.0
EE.2,1406923,37,37,37,37,37,0,0,0.0,0.0
EE.3,1411524,2,1,1,1,1,1,1,0.5,0.5
EE.4,1433960,1,1,1,1,1,0,0,0.0,0.0
EE.5,1400949,20,20,20,20,20,0,0,0.0,0.0
EF.1,1399156,154,153,153,153,153,1,1,0.006493506493506494,0.006493506493506494
EF.1.1,1406021,142,142,142,142,142,0,0,0.0,0.0
EF.1.1.1,2745967,7,7,7,7,7,0,0,0.0,0.0
EF.1.2,2747815,16,16,16,16,16,0,0,0.0,0.0
EF.1.3,1427088,4,4,4,4,4,0,0,0.0,0.0
EF.2,1407197,157,157,157,157,157,0,0,0.0,0.0
EG.1,1426912,9,9,9,9,9,0,0,0.0,0.0
EG.1.3,1436702,1,1,1,1,1,0,0,0.0,0.0
EG.1.4,1435751,2,2,2,2,2,0,0,0.0,0.0
EG.3,1435218,1,1,1,1,1,0,0,0.0,0.0
EG.4,1434101,1,1,1,1,1,0,0,0.0,0.0
EH.1,2740892,2,2,2,2,2,0,0,0.0,0.0
EJ.1,1416995,5,5,5,5,5,0,0,0.0,0.0
EJ.2,1417469,9,9,9,9,9,0,0,0.0,0.0
EK.2,1433237,5,5,5,5,5,0,0,0.0,0.0
EK.2.1,1435455,1,1,1,1,1,0,0,0.0,0.0
EK.3,1436223,5,3,3,5,5,2,0,0.4,0.0
EM.1,1425829,57,57,57,57,57,0,0,0.0,0.0
EN.1,1424970,1,1,1,1,1,0,0,0.0,0.0
EQ.1,1380258,7,7,7,7,7,0,0,0.0,0.0
ER.1,1410959,30,30,30,30,30,0,0,0.0,0.0
ER.1.1,1416529,24,24,24,24,24,0,0,0.0,0.0
ET.1,1419656,34,34,34,34,34,0,0,0.0,0.0
EU.1.1,1435313,1,1,1,1,1,0,0,0.0,0.0
EV.1,1436564,1,1,1,1,1,0,0,0.0,0.0
EW.1,1427988,3,3,3,3,3,0,0,0.0,0.0
EW.2,1410927,21,21,21,21,21,0,0,0.0,0.0
EW.3,1432523,2,2,2,2,2,0,0,0.0,0.0
EY.1,1433968,3,3,3,3,3,0,0,0.0,0.0
EZ.1,1426791,16,16,16,16,16,0,0,0.0,0.0
FA.1,1429959,4,4,4,4,4,0,0,0.0,0.0
FC.1,1416823,2,2,2,2,2,0,0,0.0,0.0
FD.1,1434169,10,10,10,10,10,0,0,0.0,0.0
FD.2,1423861,23,23,23,23,23,0,0,0.0,0.0
FD.3,1434975,1,1,1,1,1,0,0,0.0,0.0
