root,root_pango,root_mutations,root_type,pango_samples,non_pango_samples,closest_recombinant,closest_recombinant_path_len,closest_recombinant_time,closest_recombinant_descendants,pango
1163537,XZ,1,I,48,{},964555,4.0,48.18174808789672,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XZ
1395926,XBH,2,I,2,{},1379419,1.0,26.912877675843134,"{'BA.2': 4, 'XBH': 2}",XBH
1187989,XY,2,R,23,{},1187989,0.0,0.0,{'XY': 23},XY
1276376,XAJ,11,I,18,{},-1,inf,inf,{},XAJ
1301399,XAN,5,I,7,{},1189192,4.0,114.00002169206772,{'too_many_to_classify': 166127},XAN
1118099,XAE,7,S,9,{},964555,2.0,47.00000000029996,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAE
1243765,XU,4,S,1,{},1058654,6.0,103.0,"{'XQ': 55, 'BA.2': 37, 'XAM': 21, 'XR': 17, 'XAA': 17, 'XAG': 6, 'XU': 1}",XU
1231548,XAU,1,S,8,{},-1,inf,inf,{},XAU
1285706,XAZ,3,I,133,{},1189192,2.0,62.495129254717654,{'too_many_to_classify': 166127},XAZ
1425824,XBK,1,I,7,{},-1,inf,inf,{},XBK
1098084,XH,7,S,2,{},965353,1.0,55.0,"{'XE': 1116, 'BA.2': 37, 'XH': 2, 'XAF': 1}",XH
1240312,XAM,3,I,21,{},1058654,6.0,42.88565399430638,"{'XQ': 55, 'BA.2': 37, 'XAM': 21, 'XR': 17, 'XAA': 17, 'XAG': 6, 'XU': 1}",XAM
1223586,XAC,1,I,7,{},964555,5.0,66.34324873054175,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAC
2740307,XAC,2,I,9,{},964555,5.0,84.17042168785906,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAC
1214068,XAC,2,S,1,{},964555,5.0,94.00000000029996,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAC
1235679,XAC,1,S,1,{},964555,5.0,114.00000000029996,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAC
1264107,XAL,2,I,3,{},1003220,3.0,65.56605804671318,"{'XM': 26, 'BA.2': 16, 'XAL': 3}",XAL
414488,XC,1,R,5,{},414488,0.0,0.0,{'XC': 5},XC
1108280,XAD,5,S,1,{},964555,4.0,44.00000000029996,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAD
1237984,XAD,7,S,1,{},964555,5.0,117.00000000029996,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAD
965352,XE,2,S,1116,{},965353,1.0,19.0,"{'XE': 1116, 'BA.2': 37, 'XH': 2, 'XAF': 1}",XE
1183815,XAA,3,I,17,{},1058654,6.0,32.99999999990001,"{'XQ': 55, 'BA.2': 37, 'XAM': 21, 'XR': 17, 'XAA': 17, 'XAG': 6, 'XU': 1}",XAA
1159411,XW,1,R,32,{},1159411,0.0,0.0,{'XW': 32},XW
1248341,XAG,4,I,6,{},1058654,6.0,55.340162521770594,"{'XQ': 55, 'BA.2': 37, 'XAM': 21, 'XR': 17, 'XAA': 17, 'XAG': 6, 'XU': 1}",XAG
1269391,XAV,3,S,13,{},1189192,7.0,106.00002169206772,{'too_many_to_classify': 166127},XAV
938900,XM,2,R,1,{},938900,0.0,0.0,{'XM': 1},XM
1003220,XM,0,R,26,"{'BA.2': 16, 'XAL': 3}",1003220,0.0,0.0,"{'XM': 26, 'BA.2': 16, 'XAL': 3}",XM
1158127,XM,1,R,1,{},1158127,0.0,0.0,{'XM': 1},XM
1158182,XM,6,R,1,{},1158182,0.0,0.0,{'XM': 1},XM
223239,XB,2,I,192,{},-1,inf,inf,{},XB
