pango,pango_designation_issue,pango_designation_type,pango_designation_left_pango_parent,pango_designation_right_pango_parent,pango_designation_left_breakpoint,pango_designation_right_breakpoint,viridian04_num_samples_pass,viridian04_num_samples_filtered,viridian04_sublineages_filtered,viridian04_is_in_filtered,sc2ts_issue,sc2ts_is_in_arg,sc2ts_is_in_matches,sc2ts_type,sc2ts_is_clean,sc2ts_is_nested,sc2ts_is_pango_parents_concordant,sc2ts_left_pango_parent,sc2ts_right_pango_parent,sc2ts_left_breakpoint,sc2ts_right_breakpoint,rh_gisaid_is_in,rh_gisaid_type,rh_gisaid_left_pango_parent,rh_gisaid_right_pango_parent,rh_gisaid_left_breakpoint,rh_gisaid_right_breakpoint,rh_nextstrain_is_in,rh_nextstrain_type,rh_nextstrain_left_pango_parent,rh_nextstrain_right_pango_parent,rh_nextstrain_left_breakpoint,rh_nextstrain_right_breakpoint,covrecomb_is_in,covrecomb_type,covrecomb_left_pango_parent,covrecomb_right_pango_parent,covrecomb_left_breakpoint,covrecomb_right_breakpoint
XAP,https://github.com/cov-lineages/pango-designation/issues/789,simple,BA.2*,BA.1*,26062,26529,25,25,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/339,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.2,BA.1.17.2,24504,26060,TRUE,simple,BA.2,BA.1.1.12,26274,26275,TRUE,simple,BA.2.65,BA.1.23,26274,26275,FALSE,n/a,n/a,n/a,n/a,n/a
XAS,https://github.com/cov-lineages/pango-designation/issues/882,simple,BA.5*,BA.2*,23039,27788,117,108,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/340,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BA.4.8,BA.2.65,27811,27812,TRUE,non,n/a,n/a,n/a,n/a,TRUE,simple,BA.5,BA.2.17,23075,25416
XAU,https://github.com/cov-lineages/pango-designation/issues/894,simple,BA.1.1*,BA.2.9*,2834,4184,14,12,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/348,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BA.1.1.2,BA.2.9,2835,2836,TRUE,simple,BA.1.1.9,BA.2.9,3037,3038,FALSE,n/a,n/a,n/a,n/a,n/a
XAV,https://github.com/cov-lineages/pango-designation/issues/911,simple,BA.2*,BA.5*,15959,17279,15,14,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/354,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,n/a,n/a,n/a
XB,https://github.com/cov-lineages/pango-designation/issues/189,simple,B.1.634,B.1.631,20999,22501,398,367,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/332,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,TRUE,complex,-,-,-,-
XBB,many_issues,simple,BJ.1,BM.1.1.1,22891,22935,377,309,XBB, excluding XBB.*,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/336,TRUE,n/a,simple,TRUE,FALSE,FALSE,BA.2.10,BM.1.1.1,22332,22577,TRUE,simple,BJ.1,BM.1.1.1,22897,22898,TRUE,simple,BA.2.9,BM.1.1.1,22331,22332,TRUE,simple,BJ.1,BM.1.1.1,22109,22674
XBD,https://github.com/cov-lineages/pango-designation/issues/1137,simple,BA.2.75.2,BA.5.2.1,23012,24616,52,49,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BA.2.75.2,BA.5.2.1,23020,24620,TRUE,simple,BA.2.75.2,BF.3,24494,24495,TRUE,simple,BA.2.75.2,BF.3,24494,24495,TRUE,simple,BA.2.75.2*,BF.3.1*,23019,24620
XBE,https://github.com/cov-lineages/pango-designation/issues/1246,simple,BA.5.2*,BE.4.1,22591,23609,115,101,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/351,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BA.5.2.6,BE.4,26719,26720,TRUE,simple,BA.5.2.6,BE.4.1.1,26719,26720,TRUE,simple,BA.5.2.2,BE.4.1.1,21765,22599
XBF,https://github.com/cov-lineages/pango-designation/issues/1259,simple,BA.5.2,CJ.1,9864,9867,413,376,XBF;XBF.1;XBF.2;XBF.3;XBF.4;XBF.5;XBF.6;XBF.7;XBF.7.1;XBF.9;XBF.10,TRUE,,TRUE,n/a,simple,TRUE,FALSE,FALSE,BA.5.2.1,BM.1.1.1,5184,9866,TRUE,non,n/a,n/a,n/a,n/a,TRUE,simple,BA.5.2.3,CJ.1.1,8703,8704,TRUE,simple,BM.1.1*,BQ.2,23075,26529
XBG,https://github.com/cov-lineages/pango-designation/issues/896,simple,BA.2.76,BA.5.2,22600,22916,53,45,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BA.2.76,BA.5.2,22305,22917,TRUE,simple,BA.2.76,BA.5.2,22891,22892,TRUE,simple,BA.2.76,BA.5.2,19814,19815,FALSE,n/a,n/a,n/a,n/a,n/a
XBH,https://github.com/cov-lineages/pango-designation/issues/1229,simple,BA.2.3.17,BA.2.75.2,15450,22001,10,10,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,FALSE,BA.2.1,BA.2.75.2,15452,22001,TRUE,complex,BA.2.75.2,BA.2.3.17;BA.2.75.2,-,-,TRUE,complex,BA.2.75.2,BA.2.3.17;BA.2.75.2,-,-,FALSE,n/a,n/a,n/a,n/a,n/a
XBJ,https://github.com/cov-lineages/pango-designation/issues/1268,simple,BA.2.3.20,BA.5.2*,23014,25810,2,2,XBJ.2;XBJ.4,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/362,FALSE,TRUE,simple,n/a,n/a,TRUE,BA.2.3.20,BA.5.2,23019,25810,TRUE,simple,BA.2.3.20,BA.5.2.36,25584,25585,TRUE,simple,BA.2.3.20,BA.5.2.62,25593,25594,TRUE,simple,CM.2*,BA.5.2*,23013,26529
XBK,https://github.com/cov-lineages/pango-designation/issues/1418,simple,BA.5.2,CJ.1,-,-,57,51,XBK;XBK.1,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/350,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BF.5.2,CJ.1,1629,1630,TRUE,simple,BA.5.2.10,CJ.1.1,1638,1639,FALSE,n/a,n/a,n/a,n/a,n/a
XBM,https://github.com/cov-lineages/pango-designation/issues/1441,simple,BA.2.76,BF.3,22600,22916,18,14,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BA.2.76,BF.3,22305,22917,TRUE,complex,BF.3,BA.2.76;BF.3,-,-,TRUE,simple,BA.2.76,BF.3.1,22599,22600,FALSE,n/a,n/a,n/a,n/a,n/a
XBN,https://github.com/cov-lineages/pango-designation/issues/1296,simple,BA.2.75,XBB.3,-,-,2,2,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,FALSE,simple,n/a,n/a,FALSE,BN.1,XBB,5184,12444,FALSE,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BA.2.75.5,XBB.3,5183,5184,FALSE,n/a,n/a,n/a,n/a,n/a
XBP,https://github.com/cov-lineages/pango-designation/issues/1393,simple,BA.2.75*,BQ.1*,22192,22331,10,8,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,TRUE,simple,n/a,n/a,TRUE,BL.2,BQ.1.1.3,22191,22331,FALSE,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BL.1 ,BQ.1.1.3,22200,22201,FALSE,n/a,n/a,n/a,n/a,n/a
XBQ,https://github.com/cov-lineages/pango-designation/issues/1440,simple,BA.5.2,CJ.1,-,-,28,27,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/349,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BA.5.2.10,CJ.1.1,1638,1639,FALSE,n/a,n/a,n/a,n/a,n/a
XBR,https://github.com/cov-lineages/pango-designation/issues/1637,simple,BA.2.75,BQ.1,-,-,4,4,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BN.3.1,BQ.1.25,22034,22190,FALSE,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BN.3.1,BQ.1.25.1,22035,22036,FALSE,n/a,n/a,n/a,n/a,n/a
