pango_lineage	nextstrain_clade
XBB.1.5.62	23A
XBB.1.5.63	23A
XBB.1.5.64	23A
XBB.1.5.65	23A
XBB.1.5.66	23A
XBB.1.5.67	23A
XBB.1.5.68	23A
XBB.1.5.69	23A
XBB.1.5.7	23A
XBB.1.5.70	23G
XBB.1.5.71	23A
XBB.1.5.72	23A
XBB.1.5.73	23A
XBB.1.5.74	23A
XBB.1.5.75	23A
XBB.1.5.76	23A
XBB.1.5.77	23A
XBB.1.5.78	23A
XBB.1.5.79	23A
XBB.1.5.8	23A
XBB.1.5.80	23A
XBB.1.5.81	23A
XBB.1.5.82	23A
XBB.1.5.83	23A
XBB.1.5.84	23A
XBB.1.5.85	23A
XBB.1.5.86	23A
XBB.1.5.87	23A
XBB.1.5.88	23A
XBB.1.5.89	23A
XBB.1.5.9	23A
XBB.1.5.90	23A
XBB.1.5.91	23A
XBB.1.5.92	23A
XBB.1.5.93	23A
XBB.1.5.94	23A
XBB.1.5.95	23A
XBB.1.5.96	23A
XBB.1.5.97	23A
XBB.1.5.98	23A
XBB.1.5.99	23A
XBB.1.6	22F
XBB.1.7	22F
XBB.1.8	22F
XBB.1.9	23D
XBB.1.9.1	23D
XBB.1.9.2	23D
XBB.1.9.3	23D
XBB.1.9.4	23D
XBB.1.9.5	23D
XBB.1.9.6	23D
XBB.1.9.7	23D
XBB.2	22F
XBB.2.1	22F
XBB.2.10	22F
XBB.2.11	22F
XBB.2.11.1	22F
XBB.2.12	22F
XBB.2.2	22F
XBB.2.3	23E
XBB.2.3.1	23E
XBB.2.3.10	23E
XBB.2.3.11	23E
XBB.2.3.12	23E
XBB.2.3.13	23E
XBB.2.3.14	23E
XBB.2.3.15	23E
XBB.2.3.16	23E
XBB.2.3.17	23E
XBB.2.3.18	23E
XBB.2.3.19	23E
XBB.2.3.2	23E
XBB.2.3.20	23E
XBB.2.3.21	23E
XBB.2.3.22	23E
XBB.2.3.3	23E
XBB.2.3.4	23E
XBB.2.3.5	23E
XBB.2.3.6	23E
XBB.2.3.7	23E
XBB.2.3.8	23E
XBB.2.3.9	23E
XBB.2.4	22F
XBB.2.5	22F
XBB.2.6	22F
XBB.2.6.1	22F
XBB.2.6.2	22F
XBB.2.6.3	22F
XBB.2.7	22F
XBB.2.7.1	22F
XBB.2.8	22F
XBB.2.9	22F
XBB.3	22F
XBB.3.1	22F
XBB.3.2	22F
XBB.3.3	22F
XBB.3.4	22F
XBB.3.5	22F
XBB.4	22F
XBB.4.1	22F
XBB.5	22F
XBB.6	22F
XBB.6.1	22F
XBB.7	22F
XBB.8	22F
XBB.8.1	22F
XBB.8.2	22F
XBB.9	22F
XBC	recombinant
XBC.1	recombinant
XBC.1.1	recombinant
XBC.1.1.1	recombinant
XBC.1.1.2	recombinant
XBC.1.2	recombinant
XBC.1.2.1	recombinant
XBC.1.3	recombinant
XBC.1.3.1	recombinant
XBC.1.4	recombinant
XBC.1.5	recombinant
XBC.1.6	recombinant
XBC.1.6.1	recombinant
XBC.1.6.2	recombinant
XBC.1.6.3	recombinant
XBC.1.6.4	recombinant
XBC.1.6.5	recombinant
XBC.1.6.6	recombinant
XBC.1.7	recombinant
XBC.1.7.1	recombinant
XBC.1.7.2	recombinant
XBC.2	recombinant
XBC.2.1	recombinant
XBD	recombinant
XBE	recombinant
XBF	recombinant
XBF.1	recombinant
XBF.1.1	recombinant
XBF.10	recombinant
XBF.2	recombinant
XBF.3	recombinant
XBF.4	recombinant
XBF.5	recombinant
XBF.6	recombinant
XBF.7	recombinant
XBF.7.1	recombinant
XBF.8	recombinant
XBF.8.1	recombinant
XBF.9	recombinant
XBG	recombinant
XBH	recombinant
XBJ	recombinant
XBJ.1	recombinant
XBJ.1.1	recombinant
XBJ.2	recombinant
XBJ.3	recombinant
XBJ.4	recombinant
XBK	recombinant
XBK.1	recombinant
XBL	recombinant
XBL.1	recombinant
XBL.2	recombinant
XBL.3	recombinant
XBL.3.1	recombinant
XBM	recombinant
XBN	recombinant
XBP	recombinant
XBQ	recombinant
XBR	recombinant
XBS	recombinant
XBT	recombinant
XBU	recombinant
XBV	recombinant
XBW	recombinant
XBY	recombinant
XBZ	recombinant
XC	recombinant
XCA	recombinant
XCB	recombinant
XCC	recombinant
XCD	recombinant
XCE	recombinant
XCF	recombinant
XCF.1	recombinant
XCF.2	recombinant
XCF.3	recombinant
XCG	recombinant
XCH	recombinant
XCH.1	recombinant
XCJ	recombinant
XCK	recombinant
XCL	recombinant
XCM	recombinant
XCN	recombinant
XCP	recombinant
XCQ	recombinant
XCR	recombinant
XCS	recombinant
XCT	recombinant
XCT.1	recombinant
XCU	recombinant
XCV	recombinant
XCW	recombinant
XCY	recombinant
XCZ	recombinant
XD	recombinant
XDA	recombinant
XDA.1	recombinant
XDB	recombinant
XDC	recombinant
XDD	recombinant
XDD.1	recombinant
XDD.1.1	recombinant
XDD.1.1.1	recombinant
XDD.2	recombinant
XDD.3	recombinant
XDE	recombinant
XDF	recombinant
XDG	recombinant
XDH	recombinant
XDJ	recombinant
XDK	recombinant
XDK.1	recombinant
XDK.1.1	recombinant
XDK.1.2	recombinant
XDK.2	recombinant
XDK.3	recombinant
XDK.4	recombinant
XDK.4.1	recombinant
XDK.5	recombinant
XDK.6	recombinant
XDL	recombinant
XDM	recombinant
XDN	recombinant
XDP	recombinant
XDP.1	recombinant
XDP.2	recombinant
XDP.3	recombinant
XDQ	recombinant
XDQ.1	recombinant
XDQ.1.1	recombinant
XDQ.2	recombinant
XDQ.3	recombinant
XDR	recombinant
XDR.1	recombinant
XDR.1.1	recombinant
XDR.1.2	recombinant
XDS	recombinant
XDT	recombinant
XDU	recombinant
XDV	recombinant
XDV.1	24D
XDV.1.1	24D
XDV.1.10	24D
XDV.1.11	24D
XDV.1.12	24D
XDV.1.2	24D
XDV.1.2.1	24D
XDV.1.3	24D
XDV.1.4	24D
XDV.1.5	24D
XDV.1.5.1	24D
XDV.1.6	24D
XDV.1.7	24D
XDV.1.7.1	24D
XDV.1.7.2	24D
XDV.1.7.3	24D
XDV.1.7.4	24D
XDV.1.7.5	24D
XDV.1.8	24D
XDV.1.9	24D
XDV.1.9.1	24D
XDW	recombinant
XDY	recombinant
XDY.1	recombinant
XDY.1.1	recombinant
XDY.10	recombinant
XDY.11	recombinant
XDY.12	recombinant
XDY.12.1	recombinant
XDY.12.1.1	recombinant
XDY.2	recombinant
XDY.3	recombinant
XDY.4	recombinant
XDY.5	recombinant
XDY.5.1	recombinant
XDY.6	recombinant
XDY.7	recombinant
XDY.8	recombinant
XDY.9	recombinant
XDZ	recombinant
XE	recombinant
XEA	recombinant
XEB	recombinant
XEC	24F
XEC.1	24F
XEC.10	24F
XEC.11	24F
XEC.11.1	24F
XEC.11.1.1	24F
XEC.12	24F
XEC.13	24F
XEC.14	24F
XEC.14.1	24F
XEC.14.1.1	24F
XEC.15	24F
XEC.16	24F
XEC.17	24F
XEC.18	24F
XEC.18.1	24F
XEC.18.2	24F
XEC.18.3	24F
XEC.18.4	24F
XEC.19	24F
XEC.2	24F
XEC.2.1	24F
XEC.2.10	24F
XEC.2.2	24F
XEC.2.2.1	24F
XEC.2.3	24F
XEC.2.3.1	24F
XEC.2.4	24F
XEC.2.5	24F
XEC.2.6	24F
XEC.2.7	24F
XEC.2.8	24F
XEC.2.9	24F
XEC.20	24F
XEC.20.1	24F
XEC.21	24F
XEC.22	24F
XEC.23	24F
XEC.23.1	24F
XEC.24	24F
XEC.24.1	24F
XEC.25	24F
XEC.25.1	24F
XEC.25.1.1	24F
XEC.25.1.2	24F
XEC.25.1.3	24F
XEC.26	24F
XEC.27	24F
XEC.27.1	24F
XEC.27.2	24F
XEC.28	24F
XEC.29	24F
XEC.3	24F
XEC.30	24F
XEC.31	24F
XEC.32	24F
XEC.32.1	24F
XEC.32.2	24F
XEC.32.3	24F
XEC.33	24F
XEC.34	24F
XEC.35	24F
XEC.35.1	24F
XEC.36	24F
XEC.37	24F
XEC.38	24F
XEC.39	24F
XEC.4	24F
XEC.4.1	24F
XEC.4.1.1	24F
XEC.4.1.2	24F
XEC.4.1.3	24F
XEC.4.1.4	24F
XEC.4.1.5	24F
XEC.4.1.6	24F
XEC.4.2	24F
XEC.4.3	24F
XEC.4.4	24F
XEC.4.5	24F
XEC.4.5.1	24F
XEC.4.6	24F
XEC.4.6.1	24F
XEC.4.7	24F
XEC.4.8	24F
XEC.4.9	24F
XEC.40	24F
XEC.41	24F
XEC.5	24F
XEC.5.1	24F
XEC.6	24F
XEC.7	24F
XEC.8	24F
XEC.8.1	24F
XEC.9	24F
XED	recombinant
XEE	recombinant
XEF	recombinant
XEF.1	recombinant
XEF.2	recombinant
XEF.3	recombinant
XEG	recombinant
XEH	recombinant
XEJ	recombinant
XEJ.1	recombinant
XEJ.2	recombinant
XEJ.3	recombinant
XEK	recombinant
XEK.1	recombinant
XEK.1.1	recombinant
XEK.1.2	recombinant
XEK.1.2.1	recombinant
XEK.2	recombinant
XEK.2.1	recombinant
XEK.3	recombinant
XEK.4	recombinant
XEK.5	recombinant
XEK.5.1	recombinant
XEK.5.2	recombinant
XEK.6	recombinant
XEK.7	recombinant
XEK.8	recombinant
XEL	recombinant
XEL.1	recombinant
XEL.2	recombinant
XEL.3	recombinant
XEL.4	recombinant
XEL.5	recombinant
XEL.6	recombinant
XEM	recombinant
XEN	recombinant
XEN.1	recombinant
XEN.2	recombinant
XEP	recombinant
XEP.1	recombinant
XEP.1.1	recombinant
XEP.2	recombinant
XEP.3	recombinant
XEQ	recombinant
XER	recombinant
XES	recombinant
XET	recombinant
XEU	recombinant
XEV	recombinant
XEW	recombinant
XEY	recombinant
XEZ	recombinant
XF	recombinant
XFA	recombinant
XFB	recombinant
XFB.1	recombinant
XFB.2	recombinant
XFB.3	recombinant
XFC	recombinant
XFC.1	recombinant
XFC.1.1	recombinant
XFC.1.1.1	recombinant
XFC.1.2	recombinant
XFC.2	recombinant
XFD	recombinant
XFE	recombinant
XFF	recombinant
XFF.1	recombinant
XFG	25C
XFG.1	25C
XFG.2	25C
XFG.3	25C
XFG.3.1	25C
XFG.4	25C
XFG.5	25C
XFG.6	25C
XFG.7	25C
XFH	recombinant
XFH.1	recombinant
XFH.2	recombinant
XFJ	recombinant
XFJ.1	recombinant
XFJ.2	recombinant
XFJ.3	recombinant
XFJ.4	recombinant
XFK	recombinant
XFL	recombinant
XFM	recombinant
XFN	recombinant
XFP	recombinant
XFP.1	recombinant
XG	recombinant
XH	recombinant
XJ	recombinant
XK	recombinant
XL	recombinant
XM	recombinant
XN	recombinant
XP	recombinant
XQ	recombinant
XR	recombinant
XS	recombinant
XT	recombinant
XU	recombinant
XV	recombinant
XW	recombinant
XY	recombinant
XZ	recombinant
Y.1	20E
Z.1	20E
