usher_node,pango_counts,sc2ts_mrca,sc2ts_num_descendants,sc2ts_closest_recombinant,sc2ts_closest_recombinant_path_len,usher_num_descendants
node_184101,{'AY.107': 2},383299,3,-1,2147483648,2
SRR16318274,{'AY.25': 1},405948,1,405949,1,1
node_182029,{'AY.42': 17},336011,91,336012,1,17
node_181706,{'AY.100': 2},854189,2,854189,0,2
ERR7238940,{'AY.4': 1},644228,1,-1,2147483648,1
ERR6405162,{'B.1.617.2': 1},358470,1,-1,2147483648,1
SRR20939623,{'AY.3': 1},863083,1,-1,2147483648,1
node_5890,{'B.1.214': 2},224865,2,-1,2147483648,2
node_221095,{'AY.39': 2},823136,2,-1,2147483648,2
node_389751,{'B.1.1.7': 4},117576,4,-1,2147483648,4
node_112699,{'AY.4': 2},625397,2,431516,2,2
ERR6999878,{'AY.5': 1},528830,1,-1,2147483648,1
SRR19829210,{'AY.100': 1},962835,1,-1,2147483648,1
SRR21322647,{'AY.39.1': 1},749379,1,749380,1,1
SRR22472502,{'BA.5.2.1': 1},1318365,1,1318366,1,1
node_660702,{'BA.2': 5},1118591,5,1118591,0,5
ERR6881205,{'AY.112': 1},536833,1,295320,7,1
SRR20249587,{'AY.119': 1},743492,1,743493,1,1
SRR16829480,{'AY.39': 1},617041,1,617042,1,1
SRR15876884,{'B.1.617.2': 1},432689,1,432690,1,1
ERR7235507,{'AY.4': 1},655049,1,295320,6,1
SRR20251880,{'AY.3.1': 1},754129,1,-1,2147483648,1
SRR19279475,{'AY.44': 1},720507,1,-1,2147483648,1
SRR19814523,{'AY.47': 1},967111,1,967112,1,1
SRR19945157,{'BA.1.15': 1},967485,1,-1,2147483648,1
node_257751,{'B.1.617.2': 4},701358,4,701359,1,4
SRR16307159,{'AY.100': 1},530197,1,-1,2147483648,1
node_660977,{'B.1.1.308': 2},44467,2,44468,1,2
ERR7035845,{'AY.4.2': 1},598034,1,598035,1,1
node_556619,"{'BA.5.1': 18, 'BA.5.2': 11}",1436802,871748,-1,2147483648,29
node_182261,{'AY.119': 1},383336,17,295320,6,1
node_35730,{'B.1.177': 2},130133,2,130133,0,2
